VEILLE TECHNOLOGIQUE - BTS SIO;;;;;;;;
;;;;;;;;
NOM Prénom / Classe : NGUYEN William BTS SIO SISR;;;;;;;;
THEME CHOISI: Cyber attaque;;;;;;;;
Outil d'organisation de la veille choisi: Google alerte et inoreader;;;;;;;;
;;;;;;;;
Date de parution;Titre de l'article;;;Résumé de l'article;;;;
14/06/21;articles à lire absolument sur les ransomwares et la cybersécurité - Gartner;;;Cet article souligne l’augmentation des attaques de ransomware très médiatisées et l’importance pour les leaders de la sécurité et des risques de s’assurer que leur entreprise ne fait pas la une des journaux. Il propose des conseils sur les ransomwares, la création d’un programme de sécurité et de risques robuste et un aperçu des questions du conseil d’administration.;;;;
05/08/23;Les 5 attaques de type ransomware les plus dévastatrices de 2021 (et l’année n’est pas finie…) - Splashtop Team;;;Cet article met en évidence l’augmentation de 150% du volume d’attaques de ransomware en 2021 par rapport à 2020. Il mentionne que 50 à 75% de toutes les attaques de ransomware sont dirigées contre de petites entreprises. L’article présente également les cinq attaques de ransomware les plus dévastatrices en 2021 jusqu’au 1er novembre.;;;;
10/10/23;Exemples De Ransomware : 15 Attaques De Ransomware - CrowdStrike;;;Cet article explore 12 exemples récents de ransomwares pour décrire les adversaires derrière eux et comment ils fonctionnent.;;;;
05/10/21;Qu’est-ce qu’un ransomware ? | Protection contre les ransomwares - Kaspersky;;; Cet article explique ce qu’est un ransomware, quels sont ses effets sur votre ordinateur et comment vous pouvez vous en protéger.;;;;
10/10/23;Attaque DDoS: Comprendre et Mitiger les Risques - CyberInstitut;;; Cet article explique que les attaques DDoS (Distributed Denial of Service) sont une menace majeure dans le monde numérique d’aujourd’hui. Ces attaques, qui visent à rendre un service en ligne indisponible, peuvent avoir des conséquences dévastatrices pour les entreprises et les organisations de toutes tailles. Il souligne l’importance de la formation en cybersécurité et propose des stratégies de mitigation pour contrer ces attaques.;;;;
05/10/21;Explication des attaques DDoS : Causes, effets et comment protéger votre site - Kinsta;;;Cet article explique ce que sont les attaques DDoS, explore ce qui pourrait rendre votre site vulnérable et décrit les moyens de réduire leur probabilité et leur impact. Il souligne que les attaques DDoS sont étonnamment faciles à réaliser et touchent des millions de sites web dans le monde entier chaque année.;;;;
05/08/23;Qu’est-ce qu’une attaque DDoS et comment s’en protéger - Kaspersky;;;Cet article ne fournit pas beaucoup de détails, mais il mentionne des enquêtes de police ayant permis l’arrestation de cybercriminels dans le monde entier et des contre-mesures techniques efficaces contre les attaques DDoS.;;;;
29/11/23;10 différents types d’attaques DDoS et comment y … - Geekflare;;;Cet article explore les types d’attaques DDoS, leur impact sur les sites Web, et propose des stratégies de prévention pour protéger la présence en ligne contre les cybermenaces croissantes.;;;;
oct-19;Attaque DDoS, que faire - CYBERMALVEILLANCE.GOUV.FR;;;Cet article ne fournit pas beaucoup de détails, mais il mentionne des supports sur le déni de service.;;;;
;;;;;;;;
19/03/2019;Qu’est-ce qu’une attaque MAN IN THE MIDDLE (MITM)? - IONOS;;;"Cet article explique qu’une attaque MITM est un modèle de cyberattaque où un cybercriminel installe un système contrôlé entre le système de la victime et une ressource Internet qu’elle utilise. L’objectif est d’intercepter, de lire ou de manipuler toute communication entre la victime et sa ressource sans se faire remarquer.
";;;;
;;;;;;;;
17/10/2023;MITM : En quoi consiste une attaque par l’homme du milieu - C-Risk;;;Cet article décrit comment une attaque MITM fonctionne et comment s’en protéger. Il mentionne également un cas notable d’attaque MITM en 2015, où Europol a démantelé un groupe de 49 “cyber fraudsters” qui interceptaient les communications entre certaines entreprises et leurs clients dans toute l’Europe.;;;;
;;;;;;;;
05/10/2021;Initiation à la cybersécurité : l’attaque réseau de type Man in the Middle;;; l’article offre une initiation à la cybersécurité et explique en détail les attaques de type “Man in the Middle”.;;;;
;;;;;;;;
10/10/2023;Comment se protéger d’une cyber-attaque de type - Biblioteca;;;Il explique ce qu’est une attaque de type “Man In The Middle” (MITM) et comment s’en protéger. Il décrit également les différentes phases de l’attaque et les types d’attaques de l’homme du milieu.;;;;
;;;;;;;;
26/07/2022;Tout sur les attaques de l’homme du milieu | NordPass;;;Cet article explique le fonctionnement des attaques de l’homme du milieu et comment les éviter.;;;;
;;;;;;;;
05/08/2023;Qu’est-ce que le phishing ou hameçonnage - CYBERMALVEILLANCE.GOUV.FR;;;Cet article explique que le phishing, ou hameçonnage en anglais, est le principal mode opératoire utilisé par les cybercriminels pour dérober des informations personnelles et/ou bancaires aux internautes. Il consiste à usurper l’identité d’un tiers de confiance (banque, administration, réseau social, entreprise de livraison, commerce en ligne…) pour tromper la victime et l’inciter à communiquer ses données d’identité, ses mots de passe ou ses numéros de carte bancaire.;;;;
;;;;;;;;
05/10/2021;Que faire en cas de phishing ou hameçonnage - CYBERMALVEILLANCE.GOUV.FR;;;Cet article ne fournit pas beaucoup de détails, mais il mentionne des supports sur le déni de service.;;;;
;;;;;;;;
10/10/2023;Phishing : attaques, scénarios et bonnes pratiques sécurité;;;Cet article ne fournit pas beaucoup de détails, mais il mentionne des supports sur le déni de service.;;;;
;;;;;;;;
05/08/2023;Qu’est-ce que le phishing ? Exemples d’attaques par phishing et … - Cisco;;;et article donne des conseils sur comment se protéger contre une tentative de phishing. Il recommande de ne jamais communiquer d’informations sensibles par messagerie ou téléphone et de vérifier l’adresse du site qui s’affiche dans votre navigateur.;;;;
;;;;;;;;
 07/02/2024;NUMÉRO DE SÉCU, MUTUELLE: 33 MILLIONS DE FRANÇAIS CONCERNÉS PAR UNE CYBER-ATTAQUE AU TIERS PAYANT;;;Cyberattaque sur Viamedis et Almerys, 33 millions de Français affectés, données personnelles volées, pas d’informations bancaires ou médicales.;;;;
;;;;;;;;
02/02/2024;Les données de 20 millions de Français menacées suite à la cyberattaque d'une complémentaire santé;;;La société Viamedis, responsable du tiers-payant pour 20 millions d’assurés en France, a subi une cyberattaque, exposant des données personnelles, dont l’état civil et le numéro de sécurité sociale.;;;;
;;;;;;;;
11/03/2024;Plusieurs services de l’État ciblés par une cyberattaque massive, des hackers pro-russes revendiquent;;;Plusieurs services de l’État français ont été ciblés par une cyberattaque massive, revendiquée par le groupe de hackers pro-russes Anonymous Sudan.;;;;
;;;;;;;;
13/03/2024;"FRANCE TRAVAIL: 43 MILLIONS DE PERSONNES ""POTENTIELLEMENT"" CONCERNÉES PAR UNE CYBERATTAQUE";;;France Travail a subi une cyberattaque majeure, exposant potentiellement les données personnelles de 43 millions de personnes. Une enquête est en cours.;;;;
;;;;;;;;
15/03/2024;CYBERATTAQUE MASSIVE: 800 SITES ADMINISTRATIFS TOUCHÉS;;;Une cyberattaque massive a touché 800 sites administratifs français. Revendiquée par des hackers prorusses, cette attaque est d’une ampleur inédite. Le gouvernement reste vigilant face à de potentielles nouvelles attaques.;;;;
;;;;;;;;
27/03/2024;Le bilan 2023 des cyberattaques contre les entreprises;;;En 2023, les entreprises ont principalement subi des cyberattaques de piratage de compte, de hameçonnage et de rançongiciel. Les faux ordres de virement, la défiguration de sites et le déni de service ont augmenté.;;;;
;;;;;;;;
10/04/2024;En 2023, les entreprises ont principalement subi des cyberattaques de piratage de compte, de hameçonnage et de rançongiciel. Les faux ordres de virement, la défiguration de sites et le déni de service ont augmenté.;;;La ville et l’agglomération de Saint-Nazaire ont subi une cyberattaque majeure, paralysant les services municipaux et communautaires, avec des conséquences importantes encore inconnues.;;;;
;;;;;;;;
10/04/2024;Une cyberattaque paralyse les services de la ville de Saint-Nazaire;;;Le malware PlugX, vieux de plus de 15 ans, continue d’infecter des millions de PC, se propageant via des dispositifs de stockage comme les clés USB et les lecteurs flash.;;;;
;;;;;;;;
17/04/2024;"DES DONNÉES ""VOLÉES PAR DES HACKERS"": LE SLIP FRANÇAIS VICTIME D'UNE CYBERATTAQUE";;;Le Slip Français, une entreprise de sous-vêtements, a été victime d’une cyberattaque, entraînant le vol de certaines données clients. Aucune information de paiement ou de mot de passe n’a été compromise.;;;;
;;;;;;;;
19/04/2024;"""Aucune donnée n'a été exfiltrée"" : victime d'une cyberattaque, une mairie est privée d'accès à internet
";;;La ville de Floirac, près de Bordeaux, a été victime d’une cyberattaque, paralysant les services municipaux. Aucune donnée n’a été compromise, mais l’origine de l’attaque reste inconnue.;;;;
;;;;;;;;
18/04/2024;Cyberattaque : des hackeurs russes se trompent de cible et s’en prennent à un ancien moulin dans la Marne;;;Des hackers russes du groupe CyberArmyofRussia_Reborn ont ciblé par erreur l’ancien moulin à eau de Courlandon, provoquant une baisse de 20 centimètres de la Vesle.;;;;
;;;;;;;;
22.04.2024;Le groupe Swisspro victime d'une attaque par ransomware;;;Les sociétés Swisspro, appartenant à BKW Building Solutions, ont été victimes d’une attaque par ransomware début avril. Une taskforce travaille sur les conséquences possibles.;;;;
;;;;;;;;
20/04/2024;« Un acte terroriste pour déstabiliser » : le point sur la cyberattaque qui a frappé Saint-Nazaire;;;La ville de Saint-Nazaire et son agglomération ont été victimes d’une cyberattaque majeure, qualifiée d’“acte terroriste” par le maire. Le rétablissement complet pourrait prendre deux ans.;;;;
;;;;;;;;
22/04/2024;MITRE victime d'exploit de failles Ivanti par un cybergang étatique;;;MITRE, créateur du framework Att&ck, a subi une cyberattaque exploitant deux failles zero day sur ses VPN Ivanti. L’attaque, attribuée à un groupe soutenu par un État, a conduit à des améliorations significatives de la cybersécurité de MITRE.;;;;
;;;;;;;;
23.04.24;L’hôpital de Cannes frappé par une cyberattaque;;;Le Centre Hospitalier Simone-Veil de Cannes a été touché par une cyberattaque le 16 avril 2024, entraînant le report des consultations et opérations non urgentes. Une cellule de crise a été activée.;;;;
;;;;;;;;
